N,input_state,basis,time,herald,singles_ch2,coinc_ch2,singles_ch4,coinc_ch4,singles_ch6,coinc_ch6,singles_ch8,coinc_ch8,singles_ch7,coinc_ch7,int_time
4,0,,2026-07-29T20:59:24.847643,107882,4644,1398,4644,939,4644,300,4644,38,9034,2,1.028331999987131
4,0,,2026-07-29T20:59:25.876971,107246,4655,1460,4655,948,4655,258,4655,36,9294,1,1.0289115000050515
4,0,,2026-07-29T20:59:26.905632,107953,4606,1400,4606,978,4606,276,4606,33,9207,2,1.0281293999869376
4,0,,2026-07-29T20:59:27.935434,108401,4840,1427,4840,988,4840,306,4840,39,9130,1,1.029389099974651
4,0,,2026-07-29T20:59:28.964647,108508,4708,1391,4708,952,4708,300,4708,34,9380,2,1.0287478000100236
4,0,,2026-07-29T20:59:29.993955,107572,4603,1348,4603,943,4603,301,4603,39,9057,2,1.0289410999976099
4,0,,2026-07-29T20:59:31.023360,108592,4727,1473,4727,920,4727,245,4727,33,9185,2,1.0289215999946464
4,0,,2026-07-29T20:59:32.054214,108142,4696,1436,4696,923,4696,269,4696,24,9190,2,1.030584899999667
4,0,,2026-07-29T20:59:33.082993,108305,4715,1392,4715,956,4715,303,4715,33,9280,0,1.0282200999790803
4,0,,2026-07-29T20:59:34.110914,107660,4729,1481,4729,923,4729,313,4729,35,9203,2,1.027575699990848
4,0,,2026-07-29T20:59:35.138976,107913,4516,1359,4516,905,4516,261,4516,45,9097,1,1.0277080000087153
4,0,,2026-07-29T20:59:36.167548,107559,4568,1386,4568,925,4568,265,4568,39,9163,1,1.0281384999980219
4,0,,2026-07-29T20:59:37.196292,107980,4657,1476,4657,928,4657,254,4657,30,9129,0,1.0283249999920372
4,0,,2026-07-29T20:59:38.225877,107968,4759,1430,4759,958,4759,297,4759,41,9316,2,1.0292830999824218
4,0,,2026-07-29T20:59:39.254855,109189,4707,1429,4707,941,4707,280,4707,46,9223,0,1.0286159999959636
4,0,,2026-07-29T20:59:40.283457,108673,4677,1435,4677,954,4677,290,4677,32,9074,3,1.0281413000193425
4,0,,2026-07-29T20:59:41.311638,108641,4684,1471,4684,935,4684,283,4684,37,9141,1,1.0278544000175316
4,0,,2026-07-29T20:59:42.341730,107972,4671,1378,4671,936,4671,315,4671,38,9355,1,1.0297124999924563
4,0,,2026-07-29T20:59:43.372266,108662,4680,1419,4680,909,4680,288,4680,32,9008,3,1.030082899989793
4,0,,2026-07-29T20:59:44.399542,108450,4729,1478,4729,901,4729,290,4729,31,9058,2,1.0268419999920297
4,0,,2026-07-29T20:59:45.429075,108226,4633,1409,4633,934,4633,282,4633,41,9298,0,1.02925300001516
4,0,,2026-07-29T20:59:46.457892,108228,4743,1420,4743,947,4743,290,4743,37,9065,0,1.0284175999986473
4,0,,2026-07-29T20:59:47.487519,108505,4635,1391,4635,971,4635,275,4635,41,9295,3,1.0291404000017792
4,0,,2026-07-29T20:59:48.515656,108815,4716,1392,4716,978,4716,278,4716,48,9318,1,1.0276735000079498
4,0,,2026-07-29T20:59:49.544356,107957,4563,1342,4563,943,4563,277,4563,42,9226,0,1.0283640999987256
4,0,,2026-07-29T20:59:50.573576,107447,4676,1400,4676,928,4676,320,4676,33,9149,0,1.0288062999898102
4,0,,2026-07-29T20:59:51.603403,107972,4605,1410,4605,906,4605,280,4605,26,9138,0,1.0295234000077471
4,0,,2026-07-29T20:59:52.633076,108098,4529,1376,4529,927,4529,295,4529,30,9071,0,1.029231799999252
4,0,,2026-07-29T20:59:53.662131,108324,4714,1430,4714,967,4714,275,4714,28,9052,3,1.0286407000094187
4,0,,2026-07-29T20:59:54.692638,108441,4680,1376,4680,947,4680,288,4680,37,9143,3,1.030102299991995
4,0,,2026-07-29T20:59:55.720415,108715,4694,1455,4694,960,4694,246,4694,31,9357,0,1.0274402000068221
4,0,,2026-07-29T20:59:56.750807,107907,4652,1435,4652,918,4652,294,4652,39,9283,0,1.029978900012793
4,0,,2026-07-29T20:59:57.781612,107693,4707,1411,4707,905,4707,281,4707,42,9362,2,1.0302919000096153
4,0,,2026-07-29T20:59:58.812721,108083,4606,1405,4606,883,4606,287,4606,32,9120,0,1.0306886000034865
4,0,,2026-07-29T20:59:59.843655,108359,4708,1381,4708,957,4708,289,4708,36,9323,2,1.0305770999984816
4,0,,2026-07-29T21:00:00.874980,108423,4766,1489,4766,960,4766,260,4766,29,9161,0,1.0310047999955714
4,0,,2026-07-29T21:00:01.901919,108453,4605,1402,4605,913,4605,257,4605,38,9181,3,1.0265977999952156
4,0,,2026-07-29T21:00:02.930575,107864,4701,1461,4701,924,4701,320,4701,41,9102,0,1.028428999998141
4,0,,2026-07-29T21:00:03.960041,107939,4681,1388,4681,943,4681,271,4681,49,9082,1,1.0289608000020962
4,0,,2026-07-29T21:00:04.987947,107518,4590,1380,4590,949,4590,293,4590,44,9171,2,1.0274840999918524
4,0,,2026-07-29T21:00:06.016008,107490,4675,1376,4675,939,4675,319,4675,36,9040,1,1.0277170999906957
4,0,,2026-07-29T21:00:07.043654,107886,4666,1374,4666,980,4666,268,4666,37,9199,3,1.0275296999898273
4,0,,2026-07-29T21:00:08.072416,108445,4766,1451,4766,982,4766,281,4766,46,9111,1,1.0284394000191242
4,0,,2026-07-29T21:00:09.102135,107657,4699,1404,4699,942,4699,282,4699,40,9156,3,1.0292787000071257
4,0,,2026-07-29T21:00:10.130975,107970,4617,1386,4617,958,4617,281,4617,35,9175,1,1.0284435999928974
